"ID","Esame","Corso","Code"
"277","Process plant design - progettazione di processo per impianti chimici","06228","00016"
"278","Process unit operations - operazioni unitarie nell'industria di processo","06228","00025"
"279","Processi chimici industriali","06125","00027"
"280","Processi chimici industriali","06225","00026"
"281","Processi chimici per le nanotecnologie","06222","00023"
"282","Processi delle tecnologie alimentari - sanitizzazione e conservazione","06122","00023"
"283","Processi innovativi di produzione","06223","00004"
"284","Processi sostenibili della chimica industriale","06222","00022"
"285","Produzione assistita da calcolatore","06226","00006"
"286","Produzione e gestione dell'energia per le fonti rinnovabili","06224","00021"
"287","Progettazione dei sistemi di controllo","06227","00036"
"288","Progettazione dei sistemi di trasporto","06221","00016"
"289","Progettazione di processo per impianti chimici","06222","00011"
"290","Progettazione e gestione degli impianti industriali","06123","00017"
"291","Progettazione e gestione degli impianti industriali","06126","00015"
"292","Progettazione termofisica del sistema edificio-impianto","06223","00014"
"293","Progetto di edifici in zona sismica","06601","00049"
"294","Progetto di edifici in zona sismica","06221","00046"
"295","Progetto di ponti","06221","00024"
"296","Progetto di ponti","06225","00022"
"297","Progetto di strutture","06221","00028"
"298","Progetto di strutture e costruzioni in zona sismica","06221","00012"
"299","Programmazione ad oggetti","06127","00009"
"300","Programmazione e controllo della produzione","06223","00010"
"301","Reattori chimici","06122","00018"
"302","Reattori chimici alimentari","06122","00025"
"303","Recupero e conservazione degli edifici","06601","00036"
"304","Recupero e conservazione degli edifici","06221","00045"
"305","Restauro architettonico","06601","00032"
"306","Reti di calcolatori","06224","00038"
"307","Reti di calcolatori","06127","00042"
"308","Reti di telecomunicazioni","06227","00009"
"309","Reti logiche","06127","00008"
"310","Reti sociali","06227","00051"
"311","Riabilitazione strutturale","06221","00011"
"312","Riabilitazione strutturale","06601","00045"
"313","Ricerca operativa","06126","00014"
"314","Ricerca operativa e basi di dati","06126","00044"
"315","Rifiuti solidi","06225","00009"
"316","Rilievo dell'architettura","06601","00055"
"317","Rischio da frana","06225","00025"
"318","Rischio da frana","06221","00043"
"319","Rischio elettrico e magnetico","06125","00032"
"320","River and coastal management","06225","00030"
"321","River and coastal management","06221","00040"
"322","Robotica","06227","00043"
"323","Safety and environment protection in chemical processes - sicurezza e protezione ambientale dei processi chimici","06228","00018"
"324","Scienza delle costruzioni","06601","00022"
"325","Scienza delle costruzioni I","06121","00009"
"326","Scienza delle costruzioni I","06125","00012"
"327","Scienza delle costruzioni II","06221","00001"
"328","Scienza delle costruzioni II","06225","00001"
"329","Scienza delle costruzioni II","06601","00050"
"330","Servizi generali di impianto","06223","00026"
